X,Y,Z,Target 
-1.59,0.318,9.773,0
-1.609,0.241,9.677,0
-1.724,0.241,9.6,0
-1.744,0.203,9.658,0
-1.667,0.184,9.83,0
-1.59,0.222,10.022,0
-1.59,0.337,10.098,0
-1.533,0.356,10.156,0
-1.38,0.49,10.366,0
-1.207,0.529,10.29,0
-1.035,0.643,10.175,0
-0.901,0.643,10.175,0
-0.824,0.663,9.964,0
-0.728,0.701,9.715,0
-0.69,0.72,9.504,0
-0.709,0.701,9.409,0
-0.69,0.682,9.6,0
-0.671,0.605,9.773,0
-0.652,0.548,10.022,0
-0.748,0.471,10.52,0
-0.728,0.394,10.788,0
-0.728,0.318,10.922,0
-0.805,0.28,10.903,0
-0.843,0.107,10.615,0
-0.843,-0.027,10.539,0
-0.786,-0.046,10.251,0
-0.824,-0.008,9.983,0
-0.863,-0.065,9.638,0
-0.805,-0.046,9.543,0
-0.748,0.088,9.524,0
-0.709,0.28,9.638,0
-0.652,0.433,9.773,0
-0.671,0.586,9.945,0
-0.614,0.586,10.002,0
-0.479,0.624,9.753,0
-0.537,0.624,9.428,0
-0.594,0.682,9.14,0
-0.671,0.682,8.891,0
-0.786,0.758,8.662,0
-0.843,0.797,8.796,0
-0.863,0.816,9.026,0
-0.805,0.758,9.428,0
-0.767,0.758,9.524,0
-0.901,0.663,9.619,0
-1.016,0.605,9.638,0
-1.016,0.548,9.6,0
-1.073,0.49,9.677,0
-1.188,0.375,9.715,0
-1.15,0.241,9.677,0
-1.073,0.203,9.619,0
-1.073,0.107,9.6,0
-1.112,0.126,9.619,0
-1.169,0.107,9.887,0
-1.092,0.107,10.213,0
-0.997,0.088,10.5,0
-0.977,0.05,10.673,0
-0.901,0.05,10.788,0
-0.824,0.031,10.807,0
-0.748,0.011,10.654,0
-0.767,0.031,10.558,0
-0.767,0.011,10.634,0
-0.633,0.031,10.577,0
-0.556,0.05,10.309,0
-0.652,0.011,10.117,0
-0.594,0.05,10.117,0
-0.365,0.107,10.117,0
-0.269,0.165,9.811,0
-0.403,0.222,9.409,0
-0.479,0.26,9.562,1
-0.345,0.529,10.347,0
-0.25,0.643,10.73,0
-0.25,0.778,11.113,0
-0.307,0.797,11.42,0
-0.154,0.778,11.611,0
0.019,0.663,11.267,0
0.057,0.682,10.749,1
-0.135,0.605,9.734,0
-0.326,0.509,9.255,0
-0.173,0.452,8.528,0
-0.135,0.471,8.144,0
-0.192,0.337,7.819,0
-0.269,0.318,7.876,0
-0.192,0.318,8.279,0
-0.173,0.356,8.642,0
-0.25,0.394,9.179,0
-0.46,0.433,9.447,0
-0.537,0.375,9.581,0
-0.614,0.356,9.753,0
-0.614,0.337,9.83,0
-0.728,0.165,9.619,0
-0.805,0.05,9.447,0
-0.958,-0.046,9.179,0
-0.958,-0.084,8.93,0
-0.901,-0.027,8.604,0
-0.977,-0.008,8.528,0
-1.15,0.088,8.566,0
-1.035,0.26,8.987,0
-0.997,0.356,9.37,0
-0.977,0.452,9.715,0
-1.054,0.567,10.194,0
-1.207,0.605,10.52,0
-1.188,0.605,10.788,0
-1.092,0.586,10.96,0
-1.169,0.605,11.018,0
-1.131,0.586,11.018,0
-1.092,0.548,10.903,0
-0.939,0.567,10.673,0
-0.824,0.49,10.424,0
-0.709,0.452,10.251,0
-0.633,0.433,10.156,0
-0.556,0.452,10.041,0
-0.633,0.356,9.945,0
-0.652,0.375,9.983,0
-0.633,0.394,10.098,0
-0.614,0.433,10.213,0
-0.728,0.452,10.462,0
-0.709,0.433,10.462,0
-0.767,0.509,10.539,0
-0.728,0.509,10.673,0
-0.709,0.567,10.73,0
-0.671,0.529,10.769,0
-0.671,0.49,10.73,0
-0.652,0.375,10.577,0
-0.556,0.337,10.443,0
-0.518,0.26,10.098,0
-0.556,0.241,9.887,0
-0.652,0.107,9.619,0
-0.652,0.107,9.562,0
-0.633,0.088,9.485,0
-0.594,0.069,9.37,0
-0.843,-0.008,9.447,0
-0.863,-0.084,9.447,0
-0.69,-0.123,9.581,0
-0.709,-0.065,9.6,0
-0.805,-0.142,9.562,0
-0.843,-0.104,9.562,0
-0.767,-0.142,9.562,0
-0.518,-0.161,9.485,0
-0.499,-0.18,9.351,0
-0.518,-0.314,9.102,0
-0.556,-0.467,8.872,0
